SegmentID,SegmentType,Symbol,StationID,Code,Arrival,Departure,Minutes
1863447,I,CSXMRBG281,50,AUSTIN,10/5/17 4:52,10/5/17 5:11,19
1863450,I,CSXMRBG281,12,COLUMT,10/4/17 16:30,10/4/17 16:33,3
1863460,I,CSXMRBG281,53,BONNER,10/5/17 8:24,10/5/17 9:24,60
1863463,I,CSXMRBG281,86,WINSTN,10/5/17 1:03,10/5/17 1:10,7
1863476,I,CSXMRBG281,22,GARRMT,10/5/17 6:41,10/5/17 6:43,2
1863489,I,CSXMRBG281,52,BEARMT,10/5/17 7:17,10/5/17 7:37,20
1863496,I,CSXMRBG281,21,DRUMMT,10/5/17 7:05,10/5/17 7:07,2
1863522,I,CSXMRBG281,89,WSTEND,10/4/17 21:23,10/4/17 21:29,6
1863526,I,CSXMRBG281,54,CARNEY,10/4/17 18:14,10/4/17 18:17,3
1863538,I,CSXMRBG281,77,QUEBEC,10/4/17 17:12,10/4/17 17:31,19
1863539,I,CSXMRBG281,51,AVON  ,10/5/17 6:22,10/5/17 6:24,2
1863540,I,CSXMRBG281,23,TOWNMT,10/5/17 0:20,10/5/17 0:29,9
1863563,I,CSXMRBG281,70,JENS  ,10/5/17 6:54,10/5/17 6:56,2
1863566,I,CSXMRBG281,73,LOUISV,10/5/17 1:21,10/5/17 1:23,2
1863567,I,CSXMRBG281,63,ELTON ,10/4/17 18:32,10/4/17 18:35,3
1863568,I,CSXMRBG281,66,GREYCL,10/4/17 17:43,10/4/17 17:47,4
1864241,I,QSSEALT604,14,REEPTM,10/5/17 12:13,10/5/17 12:15,2
1864242,I,UFTEFYN203,46,HERON ,10/4/17 20:05,10/4/17 22:06,121
1864244,I,UFTEFYN203,43,CHILDS,10/4/17 22:56,10/4/17 22:58,2
1864246,I,QSSEALT604,86,WINSTN,10/5/17 7:47,10/5/17 8:07,20
1864248,I,HPASKCK903,60,EDDY  ,10/5/17 2:18,10/5/17 2:22,4
1864249,I,UFTEFYN203,50,AUSTIN,10/5/17 14:43,10/5/17 14:55,12
1864252,I,QSSEALT604,50,AUSTIN,10/5/17 6:31,10/5/17 6:43,12
1864253,I,UFTEFYN203,55,CLINTN,10/5/17 11:48,10/5/17 11:51,3
1864260,I,HPASKCK903,84,TUSCOR,10/5/17 1:12,10/5/17 1:14,2
1864266,I,QSSEALT604,18,BIGTIM,10/5/17 11:40,10/5/17 11:45,5
1864271,I,ECECRWM055,57,COLBY ,10/5/17 1:07,10/5/17 1:10,3
1864286,I,ECECRWM055,7,PARAMT,10/5/17 3:24,10/5/17 4:30,66
1864287,I,UFTEFYN203,26,NOXON ,10/4/17 22:27,10/4/17 22:29,2
1864289,I,QSSEALT604,7,PARAMT,10/5/17 0:52,10/5/17 0:58,6
1864294,I,QSSEALT604,54,CARNEY,10/5/17 11:30,10/5/17 11:32,2
1864300,I,HPASKCK903,43,CHILDS,10/5/17 1:33,10/5/17 1:35,2
